circuit,factory,layer_count,allocator,msf_coeff,routing_algo,routing_option,total_code_beat,circuit_volume
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Double,Yes_Kink,972,322430
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Single,No_Kink,954,275196
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Double,No_Kink,923,315194
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Double,No_Kink,958,316935
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Double,Yes_Kink,997,331868
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Proj,Yes_Kink,1408,548172
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.001,Proj,No_Kink,1309,540969
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Single,No_Kink,1004,281173
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Double,No_Kink,908,291654
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Double,Yes_Kink,936,298908
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Proj,No_Kink,1232,512795
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Single,No_Kink,924,258407
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.01,Proj,Yes_Kink,1390,545274
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Double,No_Kink,903,249773
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Proj,No_Kink,1201,488553
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,0.1,Proj,Yes_Kink,1255,473594
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Double,Yes_Kink,912,276160
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Single,No_Kink,912,240415
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Proj,No_Kink,952,384174
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,SA,1.0,Proj,Yes_Kink,957,358489
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0.0,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0.0,Single,No_Kink,974,272024
